Replace Part BUZZ? Buzzer in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Buzzer from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part C? Capacitor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Capacitor from SCH_LIB.SchLib
Replace Part D? Diode in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Diode from SCH_LIB.SchLib
Replace Part Q? PNP_TRANSISTOR in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with PNP_TRANSISTOR from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part R? Resistor in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with Resistor from SCH_LIB.SchLib
Replace Part SW? SWITCH in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with SWITCH from SCH_LIB.SchLib
Replace Part SW? SWITCH in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with SWITCH from SCH_LIB.SchLib
Replace Part SW? SWITCH in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with SWITCH from SCH_LIB.SchLib
Replace Part U? ATmega328P in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with ATmega328P from SCH_LIB.SchLib
Replace Part XT? XTAL in D:\Documentos_D\IDCI\TP_FINAL\SCH_CPU.SchDoc with XTAL from SCH_LIB.SchLib
