Replace Part CN? CONN_10P in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with CONN_10P from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
Replace Part D? LED_DIODE in D:\Documentos_D\IDCI\TP_FINAL\SCH_SEGEMENTOS.SchDoc with LED_DIODE from SCH_LIB.SchLib
